DATE,Time,Location,Operator,Route,AC Type,Aboard,Fatalities,Summary,url
17-Mar-00,930,"Near Kuna Yala, Panama",Aeroperlas,Panama City - Puerto Obaldia,de Havilland Canada DHC-6 Twin Otter 300,10   (passengers:8  crew:2),10   (passengers:8  crew:2),"Crashed into a jungle mountainside 15 miles short of its destination while en route. The wreckage was found at the 2,500 ft. level of a 2,790 ft. mountain.  Weather was poor at the time.",https://www.planecrashinfo.com/2000/2000-11.htm
17-Mar-00,1231,"Ennadai Lake, Canada",Points North Air Services,"Points North Landing, SK - Ennadai Lake",Douglas C-47A-5-DK,2   (passengers:0  crew:2),2   (passengers:0  crew:2),"After lifting off the cargo plane entered a steep, nose-up attitude, banked to the left, and crashed. The pilot lost control of the aircraft while conducting a go-around from a aborted landing on the ice strip.  The aircraft's center of gravity on the accident flight was beyond the aft C of G limit. The crew did not recalculate the aircraft's weight and balance for the second flight. Leaks in the heater shroud allowed carbon monoxide gas to contaminate cockpit and cabin air.",https://www.planecrashinfo.com/2000/2000-12.htm
22-Mar-00,1745,"Herreira, Spain",Military - Ejército del Aire,Sevilla - Herreira,CASA 212-DE Aviocar 200,7   (passengers:0  crew:7),7   (passengers:0  crew:7),Crashed while attempting to land in poor weather.,https://www.planecrashinfo.com/2000/2000-13.htm
24-Mar-00,1804,"Kadirana, Sri Lanka",Sky Cabs,Bangkok - Colombo,Antonov AN-12 (freighter),8   (passengers:0  crew:8),6   (passengers:0  crew:6),"The pilot -in-command made two requests to land because he was low on fuel. While attempting to land, he ran out of fuel and crashed short of the runway. The Cargo plane broke into four parts and crashed into houses.",https://www.planecrashinfo.com/2000/2000-14.htm
25-Mar-00,?,"Huambo, Angola",Uralex,Huambo - Luanda,Antonov AN-32,33   (passengers:29  crew:4),3   (passengers:3  crew:0),"The aircraft, leased from a Ukrainian company, overran they runway and crashed into a ditch after an aborted takeoff. Brake failure as the pilot attempted to avoid a hole in the runway.",https://www.planecrashinfo.com/2000/2000-15.htm
30-Mar-00,?,"Near Anuradhapura, Sri Lanka",Military - Sri Lankan Air Force,Jaffna/Palaly AFB - Anuradhapura AFB,Antonov An-26,40   (passengers:36  crew:4),40   (passengers:36  crew:4),The crew reported engine trouble 10 minutes before it crashed while en route. Members of the Liberation Tigers confessed to firing missiles at the plane.,https://www.planecrashinfo.com/2000/2000-16.htm
5-Apr-00,930,"Marianna, Florida",Bankair,Opa-Locka - Marianna,Learjet 35A,3   (passengers:0  crew:3),3   (passengers:0  crew:3),"While on finals the training flight pitched up, the right wing dropped, and the airplane struck trees, struck wires, caught fire on a road. The pilot's failure to maintain control of the airplane while on final approach resulting in the airplane striking trees. Factors in this accident were: improper planning of the approach, and not obtaining the proper alignment with the runway.",https://www.planecrashinfo.com/2000/2000-17.htm
19-Apr-00,702,"Samal Island, Philippines",Air Philippines,Manila - Davao,Boeing B-737-2H4,131   (passengers:124  crew:7),131   (passengers:124  crew:7),"The aircraft circled Davao airport in an attempt to land but crashed onto a coconut plantation on the mountainous Samal Island. The plane aborted a previous landing attempt because another plane was on the runway. Weather and visibility were good in the area but the landing attempt may have been hampered by low-lying clouds. The last message from the crew was that they were 7 miles from the airport on final approach. Nothing more was heard from the plane. The aircraft disintegrated upon impact near Mt. Kalangan. The elevation of the accident site was about 500 feet above sea level but the plane should have been at a altitude of 1,500 feet.",https://www.planecrashinfo.com/2000/2000-18.htm
19-Apr-00,?,"Pepa ,Congo",Military - Centrafricain Airlines,"Pepa, Congo - Kigali, Rwanda",Antonov AN-8,24   (passengers:20  crew:4),24   (passengers:20  crew:4),"The military flight crashed after losing its engines after striking birds,unable to return to land.",https://www.planecrashinfo.com/2000/2000-19.htm
29-Apr-00,?,"Bapi, Papua New Guinea",North Coast Aviation,?,Britten-Norman BN-2A-20 Islander,4   (passengers:1  crew:3),4   (passengers:1  crew:3),"While taking off the plane struck trees at the end of the runway, crashed and burned.",https://www.planecrashinfo.com/2000/2000-20.htm
2-May-00,1439,"Lyon Satolas, France",Northern Executive Aviation,?,Learjet 35A,5   (passengers:3  crew:2),2   (passengers:0  crew:2),"During a landing attempt the crew shut down No. 1 engine and declared an emergency. The plane was told to divert to Lyon Satolas. Power was applied to the remaining engine and the plane banked to the left causing the wing to touch the ground, crash and catch fire. Loss of yaw and roll control which appears to be due to the failure to monitor flight symmetry at the time of the thrust increase on the right engine.",https://www.planecrashinfo.com/2000/2000-21.htm
3-May-00,?,"Kurupung, Guyana",Trans Guyana Airways,?,Britten-Norman BN-2A-9 Islander,1   (passengers:0  crew:1),1   (passengers:0  crew:1),The cargo plane crashed into a cloud covered mountain.,https://www.planecrashinfo.com/2000/2000-22.htm
10-May-00,2030,"Kaunakakai, Hawaii",Price Aircraft Company,Kahului - Hoolehua,Rockwell Sabreliner 65,6   (passengers:4  crew:2),6   (passengers:4  crew:2),While on approach the charter flight hit the ridge of a mountain. Inadequate crew coordination led to the captain's decision to discontinue the instrument approach procedure and initiate a maneuvering descent solely by visual references at night in an area of mountainous terrain. The crew failed to review the instrument approach procedure and the copilot failed to provide accurate information regarding terrain clearance and let down procedures during the instrument approach.,https://www.planecrashinfo.com/2000/2000-23.htm
17-May-00,947,"Moanda, Gabon",Avirex,Libreville - Moanda,Beechcraft 1900C-1,10   (passengers:8  crew:2),3   (passengers:2  crew:1),The charter flight crashed while on approach in fog and mist.,https://www.planecrashinfo.com/2000/2000-24.htm
21-May-00,1128,"Near Wilkes-Barre, Pennsylvania",Executive Airlines,Atlantic City - Wilkes-Barre,BAe Jetstream 3101-31,19   (passengers:17  crew:2),19   (passengers:17  crew:2),"The plane crashed into a heavily wood area  as it was making a second approach to Wilkes-Barre/Scranton International Airport. Visibility was poor in wind, low clouds and light rain.  While attempting the second approach, the pilot reported both engines had quit but restarted one of them before the plane crashed. Investigation revealed indications of rotation on the left engine at the time of impact but the power level was not known. The right engine and propellers exhibited little or no rotation at the time of impact. Failure of the crew to ensure an adequate supply of fuel for the flight, which led to the stoppage of the right engine due to fuel exhaustion and the intermittent stoppage of the left engine.  Failure of the crew to monitor the plane's fuel state and the flightcrews failure to maintain directional control after the initial stoppage.",https://www.planecrashinfo.com/2000/2000-25.htm
25-May-00,?,"Near Manila, Philippines",Philippine Air Lines,Davao - Manila,Airbus A.330-301,298   (passengers:284  crew:14),1   (passengers:1  crew:0),"A hijacker robbed passengers, jumped out of the plane with a homemade parachute and was killed in the jump.",https://www.planecrashinfo.com/2000/2000-26.htm
31-May-00,1905,"Off Whyalla, Australia",Whyalla Airlines,Adelaide - Whyalla,Piper PA-31-350 Navajo,8   (passengers:1  crew:7),8   (passengers:1  crew:7),"En route and descending at Whyalla,  at 6,000 ft., the pilot transmitted a MAYDAY, reporting that both engines of the aircraft had failed, that there were eight persons on board and that he was going to have to ditch the aircraft, but was trying to reach Whyalla. Three minutes later he reported his position 15 nm off the coast of Whyalla. No further transmissions were heard from the plane and the wreckage was found in Spencer Gulf the next morning. Malfunction of both engines due to the failure of components of the engines. A fractured connecting rod in the left engine led the pilot to increase the power setting in the right engine, leading to the No. 6 piston being holed in the right engine.",https://www.planecrashinfo.com/2000/2000-27.htm
5-Jun-00,1135,"Accra, Ghana",Ghana Airlink,Tamale - Accra,Fokker F-27 Friendship 600,52   (passengers:48  crew:4),7   (passengers:7  crew:0),"The plane made a hard landing, short of the runway and broke in two during a heavy rainstorm.",https://www.planecrashinfo.com/2000/2000-28.htm
22-Jun-00,116,"Shitai, China",Wuhan Airlines,Enshi - Wuhan,Xian Yunshuji Y-7-100C,44   (passengers:40  crew:4),44   (passengers:40  crew:4),"The plane was attempting to land at Whuan's Wanjiatun Airport in thunderstorms and heavy rain when it was struck by lightning causing it to explode and crash. Half of the plane crashed into a farmhouse and the other half crashed near a dike on the Hanjiang River near the village of Shitai, 15 miles from Wuhan. Seven people aboard a boat on the southern bank of the river were killed when they were swept into the river by the impact of the crash.",https://www.planecrashinfo.com/2000/2000-29.htm
23-Jun-00,1141,"Boca Raton, Florida",Universal Jet Aviation,Boca Raton - Fort Pierce,Learjet 55,3   (passengers:1  crew:2),3   (passengers:1  crew:2),Shortly after takeoff the aircraft impacted another plane and crashed to the ground. The failure of the pilot's of both airplanes to maintain a visual lookout while climbing and maneuvering resulting in an in-flight collision and subsequent collision with residences and terrain.,https://www.planecrashinfo.com/2000/2000-30.htm
27-Jun-00,?,"Off Shimano, Japan",Military - Japanese Air Self-Defence Force,Training,Kawasaki C-1A,5   (passengers:0  crew:5),5   (passengers:0  crew:5),Crashed into the sea during a test flight.,https://www.planecrashinfo.com/2000/2000-31.htm
2-Jul-00,1050,"Off Cagayancillo, Philippines",Military - Philippine Air Force,Cagayancillo - Puerto Princesa,GAF Nomad N-22C,15   (passengers:11  crew:4),14   (passengers:10  crew:4),"Engine problems forced the pilot to return to the airport. However, he overshot the runway and crashed into the sea. One passenger was rescued by fishermen. Major General Santiago Madrid, chief of the southwestern military command, killed.",https://www.planecrashinfo.com/2000/2000-32.htm
8-Jul-00,1950,"Near Villahermosa, Mexico",Aerocaribe,Tuxtla Gutierrez - Villahermosa,British Aerospace  BAe Jetstream 32EP,19   (passengers:17  crew:2),19   (passengers:17  crew:2),"The plane crashed into a heavily forested area 42 miles southeast of Villahermosa. There was fog and rain in the area  at the time.  Flying VFR, deviation to avoid weather resulted in spatial disorientation of the crew which led to descending below a safe flying altitude to clear high ground.",https://www.planecrashinfo.com/2000/2000-33.htm
9-Jul-00,837,"Villavicencio, Colombia",CORAL Colombia,Villavicencio - Mitu,Curtiss C-46A-60-CS,19   (passengers:15  crew:4),13   (passengers:9  crew:4),"The cargo plane had 19 people aboard when it crashed into a farm after losing the No. 2 engine, two minutes after taking off from Villavicencio.",https://www.planecrashinfo.com/2000/2000-34.htm
13-Jul-00,34,"Raleigh, North Carolina",Win Win Aviation,"Hinckley, IL - Louisburg, NC",de Havilland Canada DHC-6 Twin Otter 200,3   (passengers:2  crew:1),1   (passengers:0  crew:1),"The plane, on a positioning flight crashed into rugged woods during an approach to land. The pilot's continued VFR flight into IMC conditions, by failing to maintain altitude, and descending from VFR conditions into IMC, which resulted in him subsequently impacting with trees. Factors in this accident were: reduced visibility due to dark night and fog. An additional factor was the pilot was not certified for instrument flight.",https://www.planecrashinfo.com/2000/2000-35.htm
17-Jul-00,734,"Patna, India",Indian Airlines/Alliance Airlines,Calcutta - Patna - Lucknow - New Delhi,Boeing B-737-2A8 Advanced,58   (passengers:52  crew:6),55   (passengers:49  crew:6),"While attempting to land at Patna, the aircraft was too high and the crew attempted a go-around. During the second landing attempt, the aircraft was again high, veered to left and lost altitude until it crashed into houses in the Gardanibagh district and burst into flames. The cause of the accident was loss of control of the aircraft due to crew error. The crew did not followed the correct approach procedure, which resulted in the aircraft being high on approach. The crew then initiated a ""go-around procedure"" instead of an ""approach to stall recovery procedure"" resulting in an actual stall of the aircraft, loss of control and subsequent impact with the ground.",https://www.planecrashinfo.com/2000/2000-36.htm
19-Jul-00,30,"Linneus, Maine",Airwave Transport,Moncton - Montreal,Grumman G-159 Gulfstream I,2   (passengers:0  crew:2),2   (passengers:0  crew:2),"After declaring an emergency the cargo plane crew requested the nearest airport. The aircraft soon after descended out of control and crashed on the eastern side of the Meduxnekeag River. The pilot-in-command's failure to maintain minimum control airspeed, which resulted in a loss of control. Factors in this accident were clouds, and a loss of engine power for undetermined reasons, while in cruise flight above the airplane's single engine service ceiling.",https://www.planecrashinfo.com/2000/2000-37.htm
20-Jul-00,1312,"Nassau, Bahamas",Allied Air Freight,Nassau - Freeport,Douglas C-47A-10-DK,2   (passengers:0  crew:2),2   (passengers:0  crew:2),The cargo plane lost an engine on takeoff lost altitude and crashed 2 miles east of the airport.,https://www.planecrashinfo.com/2000/2000-38.htm
21-Jul-00,1020,"Maui, Hawaii",Blue Hawaiian Helicopters,Sight seeing,Aerospatiale AS355-F1,7   (passengers:6  crew:1),7   (passengers:6  crew:1),"The helicopter, on a sightseeing tour, crashed into mountains on the western slopes of Maui at an elevation of 2,850 feet inclement weather.",https://www.planecrashinfo.com/2000/2000-39.htm
25-Jul-00,1644,"Gonesse, France",Air France,Paris - New York City,Aerospatiale BAe Concorde 101,109   (passengers:100  crew:9),109   (passengers:100  crew:9),"The aircraft struggled to gain altitude after taking off from Charles de Gaulle airport. The pilot reported the No. 2 engine failed and struggled to steer towards Le Bourget airfield as smoke and fire trailed the jet's left wing.   The plane was unable to gain altitude, went nose high, stalled and crashed into a small hotel complex.  A metal strip left on the runway by another plane gashed one of the Concorde's tires which blew out sending a piece of rubber into the underside of the wing which sent a shockwave which ruptured a seam in the fuel tank. An electrical severed by another piece of rubber sparked which ignited leaking fuel ignited and started an uncontrollable fire. Power was lost to the No. 1 and No. 2 engines which led to loss of control of the aircraft and subsequent crash. Investigation revealed the metal strip was probably a thrust reverser part from Continental Airlines DC-10-30 , registered N13067 which departed Paris as Flight 055 to Newark. This is the first crash of a Concorde in aviation history. The French government convicted Continental and a Continental mechanic of a crime but an appeals court reversed the decision.",https://www.planecrashinfo.com/2000/2000-40.htm
26-Jul-00,600,"Mafraq, Jordan",Military - Royal Jordanian Air Force,?,Lockheed C-130H Hercules,13   (passengers:?  crew:?),13   (passengers:?  crew:?),Crashed on a training flight.,https://www.planecrashinfo.com/2000/2000-41.htm
27-Jul-00,1031,"Jodhura, Nepal",Royal Nepal Airlines,Bajhang - Dhangadhi,de Havilland Canada DHC-6 Twin Otter 300,25   (passengers:22  crew:3),25   (passengers:22  crew:3),"The aircraft crashed into the Churia mountain range at 4,300 ft., 20 minutes into a 30 minute flight to Dhangadhi in rain and fog.",https://www.planecrashinfo.com/2000/2000-42.htm
2-Aug-00,845,"Cubatao, Brazil",Air taxi - Lider Air Taxi,Cubatao - Navegantes,Sikorsky S-76,6   (passengers:5  crew:1),6   (passengers:5  crew:1),"The helicopter exploded and crashed from a height of 1,000 ft.",https://www.planecrashinfo.com/2000/2000-43.htm
6-Aug-00,1555,"Puerto Montt, Chile",Military - Fuerza Aérea de Chile,Santiago - Coihaique,Casa 212-AB10 Aviocar,14   (passengers:10  crew:4),14   (passengers:10  crew:4),The aircraft crashed into a volcano after the pilot reported he was diverting to Puerto Montt because of ice formation on the wings. The wreckage was found 15 days later.,https://www.planecrashinfo.com/2000/2000-44.htm
9-Aug-00,800,"Burlington Township, New Jersey",Patuxent Airways / Private,"Lakehurst, NY - Patuxent River, MD",Piper Navajo PA-31/ Piper Seminole PA-44,11   (passengers:8  crew:3),11   (passengers:8  crew:3),"The two aircraft collided over a central New Jersey subdivision, scattering debris over a wide area. The Navajo had taken off from Lakehurst Naval Air Station and the Seminole from Northeast Philadelphia Airport.  The Navajo crashed into a two-story house while the Seminole fell into a soybean field. Two pilots and seven passenger were killed on the Navajo as were a pilot instructor and his student on the Seminole. Failure of the pilots of the two airplanes to see and avoid each other and maintain proper airspace separation during visual flight rules.",https://www.planecrashinfo.com/2000/2000-45.htm
12-Aug-00,?,"Near Tshikapa, Congo",Staer Air,Kinshasa - Tshikapa,Antonov AN-26B,27   (passengers:21  crew:6),27   (passengers:21  crew:6),The plane was approaching Tshikapa and the pilot informed the tower that it was having difficulties with its landing gear. The tower told the pilot to do a low fly-by for an evaluation and then make an emergency landing but the pilot refused and attempted to return to Kinshasa. The plane crashed 40 miles north of Tshikapa.,https://www.planecrashinfo.com/2000/2000-46.htm
23-Aug-00,1930,"Off Manama, Bahrain",Gulf Air,Cairo - Manama,Airbus A320-212,143   (passengers:135  crew:8),143   (passengers:135  crew:8),"The aircraft crashed into the Persian Gulf and exploded in flames while attempting to land at Bahrain International Airport. The crew decided to perform a missed approach after it was determined the aircraft was coming in too high and fast. Instructions were given for a 180 degree turn and climb to 2,500 feet. While performing the missed approach the plane suddenly descended rapidly from an altitude of 1,000 feet and crashed into the shallow waters of the gulf approximately 1 mile from the airport. The accident was a result of a fatal combination of factors, including the captain's failure to comply with standard operating procedures and the copilot's actions in not drawing the captain's attention to the deviations of the aircraft from the standard flight parameters. The captain may have suffered a ""spatial disorientation"" to ground warning systems, which could have made him falsely perceive the aircraft was pitching up. He responded by making a nose down input, resulting in the aircraft starting to descend, when aircraft warning systems were saying he should increase altitude.",https://www.planecrashinfo.com/2000/2000-47.htm
2-Sep-00,?,"Mount Montezuma, Colombia",Military - Fuerza Aérea Colombiana,?,Douglas C-47,7   (passengers:0  crew:7),7   (passengers:0  crew:7),Flew into Mt. Montezuma.,https://www.planecrashinfo.com/2000/2000-48.htm
4-Sep-00,1510,"Near Burketown, Australia",Charter - Central Air,Perth - ?,Beechcraft SKA 200,8   (passengers:7  crew:1),8   (passengers:7  crew:1),"Shortly after departing Perth and after the aircraft had climbed through its assigned altitude, the pilots speech became significantly impaired and he appeared unable to respond to ATS instructions. Open microphone transmissions over the next 8-minutes revealed the progressive deterioration of the pilot towards unconsciousness and the absence of any sounds of passenger activity in the aircraft. No human response of any kind was detected for the remainder of the flight. Five hours after taking off from Perth, the aircraft impacted the ground 65 km ESE of Burketown, Queensland, and was destroyed. Incapacitation of the pilot and passengers a result of hypobaric hypoxia due to the aircraft being fully or partially unpressurised and their not receiving supplemental oxygen. The investigation could not determine the reason for the aircraft being unpressurised, or why the pilot and passengers did not receive supplemental oxygen.",https://www.planecrashinfo.com/2000/2000-49.htm
16-Sep-00,925,"Kumarapura, Sri Lanka",Military - Sri Lanka Air Force,Colombo - Kalmunai,Mil Mi-17,14   (passengers:12  crew:2),14   (passengers:12  crew:2),"The Air Force helicopter was on a domestic flight when it cashed into mountainous terrain 75 km from Colombo. The helicopters pilot had contacted air traffic controllers saying he had problems with visibility and was lowering his altitude. Sri Lanka, Muslim Congress leader M. H. M. Ashraff, 52, along with members of his entourage were killed.",https://www.planecrashinfo.com/2000/2000-50.htm
6-Oct-00,1655,"Reynosa, Mexico",Aeromexico,Mexico City - Reynosa - Matamoros,McDonnell Douglas DC-9-31,88   (passengers:83  crew:5),0   (passengers:0  crew:0),"The aircraft overshot the runway near Reynosa, Mexico and crashed into vehicles and houses coming to rest in a canal. The accident happened during a heavy rainstorm. The lights at the airport were out due to the storm and contact with the tower was lost. No passengers were killed aboard the aircraft but four people were killed on the ground.",https://www.planecrashinfo.com/2000/2000-51.htm
8-Oct-00,1520,"Port Radium, Northwest Territories, Canada",Summit Air Charters,Kuglluktuk - Yellowknife,Shorts SC.7 Skyvan 3-100,3   (passengers:1  crew:2),3   (passengers:1  crew:2),"The chartered cargo plane hit tree tops and discintegrated while attempting to land. Although the pilot and the aircraft were certified for instrument flight, the pilot apparently continued to fly in accordance with visual flight rules after encountering marginal weather conditions and reduced visibility. For undetermined reasons, the pilot descended below the elevation of the terrain surrounding the airstrip, resulting in a controlled-flight-into-terrain accident.",https://www.planecrashinfo.com/2000/2000-52.htm
10-Oct-00,1452,"Wichita, Kansas",Bombardier Aerospace,Test flight,Canadair CL-600-2B16 Challenger 604,3   (passengers:0  crew:3),2   (passengers:0  crew:2),"The cause of this accident was the pilot's excessive takeoff rotation, during an aft center of gravity takeoff, a rearward migration of fuel during acceleration and takeoff and consequent shift in the airplane's aft c.g. to aft of the aft c.g. limit, which caused the airplane to stall at an altitude too low for recovery. Contributing to the accident were Bombardier's inadequate flight planning procedures for the Challenger flight test program and the lack of direct, on-site operational oversight by Transport Canada and the Federal Aviation Administration.",https://www.planecrashinfo.com/2000/2000-53.htm
16-Oct-00,1733,"Hillsboro, Missouri",Private,St. Louis - New Madrid,Cessna 335,3   (passengers:2  crew:1),3   (passengers:2  crew:1),"The twin engine Cessna crashed into a densely wooded area, 30 miles south of St. Louis, 25 minutes after taking off from Parks Airport. The plane was flying in rain and fog when the pilot reported he was at 6,500 feet and having problems with the artificial horizon. Radar contact was soon lost with the aircraft.  Witnesses reported hearing a plane in a dive followed by an explosion.  Wreckage was scattered over a wide area.  Mel Carnahan, 66, Governor of Missouri was killed in the accident along with a campaign aide and his son, Roger, who was piloting the plane.",https://www.planecrashinfo.com/2000/2000-54.htm
19-Oct-00,1212,"Near Sam Neua, Laos",Lao Aviation,Vientiane - Sam Neua,Harbin Yunshuji Y-12-II,17   (passengers:15  crew:2),8   (passengers:8  crew:0),"The aircraft crashed into a mountain at 4,800 ft., in poor weather, while making an apporach to Sam Neua.",https://www.planecrashinfo.com/2000/2000-55.htm
25-Oct-00,1815,"Near Batumi, Republic of Georgia",Military - Russian Air Force,Moscow - Batumi,Ilyushin IL-18D,86   (passengers:75  crew:11),86   (passengers:75  crew:11),"Communications were lost with the aircraft as it approached Mt. Tirina at 4,250 feet, preparing to land at Batumi. The aircraft was seen rapidly descending into mountainous terrain. A large explosion followed as the plane crashed somewhere between the towns of  Batumi and Kabuleti in heavy rain. Navigation error made by the crew in the final stage of the landing approach. Error by the Batumi ATC who failed to locate the plane and conform it to the crew. Erroneous data shown by ground radio-technical facilities at Batumi airport.",https://www.planecrashinfo.com/2000/2000-56.htm
